 Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
 947.0000000000  -1.1096881673e-02  4.3317264509e-19  4.8883715705e-03  4.9080378546e-03  
 947.5000000000  -1.1110094761e-02  -1.5995806901e-19  4.8883715705e-03  4.9080378662e-03  
 948.0000000000  -1.1123055730e-02  3.8164128229e-19  4.8883715705e-03  4.9080378777e-03  
 948.5000000000  -1.1135764284e-02  -6.2833342032e-19  4.8883715705e-03  4.9080378892e-03  
 949.0000000000  -1.1148220129e-02  8.7203890935e-20  4.8883715705e-03  4.9080379008e-03  
 949.5000000000  -1.1160422979e-02  -2.7328856325e-19  4.8883715705e-03  4.9080379123e-03  
 950.0000000000  -1.1172372552e-02  2.0866867986e-19  4.8883715705e-03  4.9080379238e-03  
 950.5000000000  -1.1184068574e-02  3.5077327610e-19  4.8883715705e-03  4.9080379354e-03  
 951.0000000000  -1.1195510773e-02  -1.8218010273e-19  4.8883715705e-03  4.9080379469e-03  
 951.5000000000  -1.1206698888e-02  -7.3727869197e-20  4.8883715705e-03  4.9080379584e-03  
 952.0000000000  -1.1217632658e-02  1.2139677383e-19  4.8883715705e-03  4.9080379700e-03  
 952.5000000000  -1.1228311833e-02  4.3368044832e-21  4.8883715705e-03  4.9080379815e-03  
 953.0000000000  -1.1238736166e-02  2.7802797677e-19  4.8883715705e-03  4.9080379930e-03  
 953.5000000000  -1.1248905415e-02  -2.1684255201e-19  4.8883715705e-03  4.9080380046e-03  
 954.0000000000  -1.1258819347e-02  1.1703243275e-19  4.8883715705e-03  4.9080380161e-03  
 954.5000000000  -1.1268477731e-02  2.1686161032e-20  4.8883715705e-03  4.9080380276e-03  
 955.0000000000  -1.1277880345e-02  -2.4275964275e-19  4.8883715705e-03  4.9080380392e-03  
 955.5000000000  -1.1287026971e-02  -2.2260158204e-20  4.8883715705e-03  4.9080380507e-03  
 956.0000000000  -1.1295917398e-02  4.3709464338e-21  4.8883715705e-03  4.9080380622e-03  
 956.5000000000  -1.1304551419e-02  4.1195889931e-19  4.8883715705e-03  4.9080380738e-03  
 957.0000000000  -1.1312928835e-02  3.8963581813e-20  4.8883715705e-03  4.9080380853e-03  
 957.5000000000  -1.1321049452e-02  -6.9659989583e-20  4.8883715705e-03  4.9080380968e-03  
 958.0000000000  -1.1328913080e-02  -5.2312820990e-20  4.8883715705e-03  4.9080381084e-03  
 958.5000000000  -1.1336519538e-02  -7.1489446590e-20  4.8883715705e-03  4.9080381199e-03  
 959.0000000000  -1.1343868650e-02  -5.2315070671e-20  4.8883715705e-03  4.9080381314e-03  
 959.5000000000  -1.1350960243e-02  -1.0160795510e-19  4.8883715705e-03  4.9080381430e-03  
 960.0000000000  -1.1357794155e-02  -2.7097435104e-22  4.8883715705e-03  4.9080381545e-03  
 960.5000000000  -1.1364370225e-02  -1.5392276281e-19  4.8883715705e-03  4.9080381660e-03  
 961.0000000000  -1.1370688300e-02  -1.9030925334e-19  4.8883715705e-03  4.9080381775e-03  
 961.5000000000  -1.1376748233e-02  5.1768666248e-20  4.8883715705e-03  4.9080381891e-03  
 962.0000000000  -1.1382549883e-02  -2.7329834284e-22  4.8883715705e-03  4.9080382006e-03  
 962.5000000000  -1.1388093115e-02  -1.0625182098e-19  4.8883715705e-03  4.9080382121e-03  
 963.0000000000  -1.1393377798e-02  1.0438828244e-19  4.8883715705e-03  4.9080382237e-03  
 963.5000000000  -1.1398403810e-02  -1.0408242427e-19  4.8883715705e-03  4.9080382352e-03  
 964.0000000000  -1.1403171032e-02  2.3851389069e-20  4.8883715705e-03  4.9080382467e-03  
 964.5000000000  -1.1407679352e-02  6.9388873123e-20  4.8883715705e-03  4.9080382583e-03  
 965.0000000000  -1.1411928665e-02  1.9500942173e-20  4.8883715705e-03  4.9080382698e-03  
 965.5000000000  -1.1415918870e-02  1.2388597591e-19  4.8883715705e-03  4.9080382813e-03  
 966.0000000000  -1.1419649873e-02  7.9942768934e-20  4.8883715705e-03  4.9080382929e-03  
 966.5000000000  -1.1423121586e-02  1.9758009409e-19  4.8883715705e-03  4.9080383044e-03  
 967.0000000000  -1.1426333927e-02  -1.0831433773e-21  4.8883715705e-03  4.9080383159e-03  
 967.5000000000  -1.1429286820e-02  4.2419372808e-20  4.8883715705e-03  4.9080383275e-03  
 968.0000000000  -1.1431980193e-02  -1.3862643268e-19  4.8883715705e-03  4.9080383390e-03  
 968.5000000000  -1.1434413983e-02  -6.9524559691e-20  4.8883715705e-03  4.9080383505e-03  
 969.0000000000  -1.1436588130e-02  1.7364180589e-20  4.8883715705e-03  4.9080383621e-03  
 969.5000000000  -1.1438502583e-02  -1.4203902114e-19  4.8883715705e-03  4.9080383736e-03  
 970.0000000000  -1.1440157294e-02  2.9137868245e-20  4.8883715705e-03  4.9080383851e-03  
 970.5000000000  -1.1441552222e-02  1.1275759049e-19  4.8883715705e-03  4.9080383967e-03  
 971.0000000000  -1.1442687333e-02  2.2776713993e-20  4.8883715705e-03  4.9080384082e-03  
 971.5000000000  -1.1443562597e-02  5.5438074771e-20  4.8883715705e-03  4.9080384197e-03  
 972.0000000000  -1.1444177992e-02  5.6920895277e-20  4.8883715705e-03  4.9080384313e-03  
 972.5000000000  -1.1444533501e-02  -1.0885862138e-21  4.8883715705e-03  4.9080384428e-03  
 973.0000000000  -1.1444629113e-02  -3.4635418666e-20  4.8883715705e-03  4.9080384543e-03  
 973.5000000000  -1.1444464821e-02  -6.9458818995e-20  4.8883715705e-03  4.9080384659e-03  
 974.0000000000  -1.1444040628e-02  1.3993116641e-20  4.8883715705e-03  4.9080384774e-03  
 974.5000000000  -1.1443356540e-02  -2.7920719989e-20  4.8883715705e-03  4.9080384889e-03  
 975.0000000000  -1.1442412569e-02  3.3592205858e-20  4.8883715705e-03  4.9080385005e-03  
 975.5000000000  -1.1441208734e-02  -8.6659744876e-21  4.8883715705e-03  4.9080385120e-03  
 976.0000000000  -1.1439745060e-02  -1.0846819405e-20  4.8883715705e-03  4.9080385235e-03  
 976.5000000000  -1.1438021577e-02  1.6258764223e-20  4.8883715705e-03  4.9080385351e-03  
 977.0000000000  -1.1436038322e-02  1.3298417530e-20  4.8883715705e-03  4.9080385466e-03  
 977.5000000000  -1.1433795336e-02  4.6036157926e-21  4.8883715705e-03  4.9080385581e-03  
 978.0000000000  -1.1431292669e-02  1.7385349683e-20  4.8883715705e-03  4.9080385697e-03  
 978.5000000000  -1.1428530374e-02  2.3039296199e-20  4.8883715705e-03  4.9080385812e-03  
 979.0000000000  -1.1425508512e-02  -1.3222252550e-20  4.8883715705e-03  4.9080385927e-03  
 979.5000000000  -1.1422227149e-02  -2.9592806460e-22  4.8883715705e-03  4.9080386042e-03  
 980.0000000000  -1.1418686357e-02  -4.7850016172e-20  4.8883715705e-03  4.9080386158e-03  
 980.5000000000  -1.1414886214e-02  5.6912147797e-20  4.8883715705e-03  4.9080386273e-03  
 981.0000000000  -1.1410826805e-02  -2.6969661373e-20  4.8883715705e-03  4.9080386388e-03  
 981.5000000000  -1.1406508218e-02  -1.5239182530e-20  4.8883715705e-03  4.9080386504e-03  
 982.0000000000  -1.1401930550e-02  -6.9735295071e-20  4.8883715705e-03  4.9080386619e-03  
 982.5000000000  -1.1397093902e-02  -1.8364727886e-20  4.8883715705e-03  4.9080386734e-03  
 983.0000000000  -1.1391998383e-02  1.0401789686e-19  4.8883715705e-03  4.9080386850e-03  
 983.5000000000  -1.1386644106e-02  -1.0406752659e-19  4.8883715705e-03  4.9080386965e-03  
 984.0000000000  -1.1381031190e-02  -9.1885042240e-20  4.8883715705e-03  4.9080387080e-03  
 984.5000000000  -1.1375159761e-02  6.9101080220e-20  4.8883715705e-03  4.9080387196e-03  
 985.0000000000  -1.1369029951e-02  2.1686158964e-20  4.8883715705e-03  4.9080387311e-03  
 985.5000000000  -1.1362641897e-02  -1.2913651728e-19  4.8883715705e-03  4.9080387426e-03  
 986.0000000000  -1.1355995741e-02  -6.9117822354e-20  4.8883715705e-03  4.9080387542e-03  
 986.5000000000  -1.1349091634e-02  2.1172435550e-19  4.8883715705e-03  4.9080387657e-03  
 987.0000000000  -1.1341929731e-02  4.0794157001e-20  4.8883715705e-03  4.9080387772e-03  
 987.5000000000  -1.1334510192e-02  6.1121026862e-20  4.8883715705e-03  4.9080387888e-03  
 988.0000000000  -1.1326833184e-02  2.0815014297e-19  4.8883715705e-03  4.9080388003e-03  
 988.5000000000  -1.1318898880e-02  -5.7331152259e-20  4.8883715705e-03  4.9080388118e-03  
 989.0000000000  -1.1310707459e-02  1.0870609269e-19  4.8883715705e-03  4.9080388234e-03  
 989.5000000000  -1.1302259105e-02  3.6898872773e-20  4.8883715705e-03  4.9080388349e-03  
 990.0000000000  -1.1293554010e-02  -1.7074331905e-20  4.8883715705e-03  4.9080388464e-03  
 990.5000000000  -1.1284592368e-02  -1.6801745696e-19  4.8883715705e-03  4.9080388580e-03  
